Metric|Value
Total_Order_Items|101395
Average_Delay_Days|-3.4324
Min_Delay_Days|-176
Max_Delay_Days|118
Late_Items|5862
OnTime_Items|6775
Early_Items|88758

Order_ID|Product_ID|Seller_ID|Shipping_Limit_Date|Order_Delivered_Carrier_Date|Delivery_Delay_Days
da81fbc27b55e0f3d2813cf2078dc780|beec9bc2305d3372fa3b3133ba3fd644|5d378b73ab7dd6f0418d743e5dcb0bd1|2023-11-24 04:26:00.0|2024-03-20 22:44:00.0|118
8b7fd198ad184563c231653673e75a7f|a9fa5ce6ccf634df53e924a8ca7099ab|e09887ca8c7bf8a4621ce481820414ef|2023-11-23 15:47:00.0|2024-02-27 00:27:00.0|95
97f48024fcc76f1898e397ad6966e3a0|d5536c1422144c4fc6fe001224b21ba8|9b522ba7eae9e1d04082f267144583cc|2023-12-15 19:41:00.0|2024-03-16 20:58:00.0|92
866314550f6d7a55c82917d9b4463e1f|ed7090839f8e749840a20f1c1cc78717|9c0e69c7bf2619675bbadf47b43f655a|2023-11-23 09:30:00.0|2024-01-21 23:12:00.0|59
5cc475c7c03290048eb2e742cd64cb5e|3410cbd7df2130ec3cb9300ef0fe3df1|897060da8b9a21f655304d50fd935913|2022-10-09 10:10:00.0|2022-12-07 00:24:00.0|58
2805499c211b52dfc1e64a1349ef45e2|ca80683f1a9622d90278db41328f8d3c|d98eec89afa3380e14463da2aabaea72|2024-02-23 22:27:00.0|2024-04-16 20:54:00.0|53
7d86c4aa9e59504b23f16c7ca68954a7|e8d7b12572b213ba22acebb8983a4615|8d92f3ea807b89465643c219455e7369|2023-01-31 23:38:00.0|2023-03-21 21:40:00.0|49
bfbd0f9bdef84302105ad712db648a6c|5a6b04657a4c5ee34285d1e4619a96b4|ecccfa2bb93b34a3bf033cc5d1dcdc69|2022-09-20 06:11:00.0|2022-11-08 00:11:00.0|49
5d6e9993ecc20a59e637ce711858d081|3c2f792f1041177a81913a977431a99e|6ee85be3693ed79a8e80718743d80655|2023-01-26 18:26:00.0|2023-03-13 16:16:00.0|46
abbbf52551bc34cd52a7851c06dfca90|6f1ccca9f878a413a495487eb649ab32|586a871d4f1221763fddb6ceefdeb95e|2023-01-31 06:20:00.0|2023-03-17 16:45:00.0|46
d8734ba226623cf1c86b3cce8cbffa78|b3af6df8f36460eadc69ee2310a440d0|0b35c634521043bf4b47e21547b99ab5|2024-02-06 22:35:00.0|2024-03-21 23:12:00.0|44
00e054d0da011d5016f31011af488f4f|4cb6e86e1328e77e20b5f90771683cbe|c3867b4666c7d76867627c2f7fb22e21|2024-03-16 03:08:00.0|2024-04-28 00:50:00.0|43
5da2004d85f2828349d887c989da2adc|72bf8fd8b4596a7fa2c2cfab031204ed|87f3e35268860433e13d577825aada95|2022-10-11 09:48:00.0|2022-11-21 17:23:00.0|41
67e9625c39f8c6e529f81ad4c28acc5e|fa80471d26662bb653b2286e4b735a5a|712e6ed8aa4aa1fa65dab41fed5737e4|2023-02-16 05:30:00.0|2023-03-28 21:10:00.0|41
b77b82b683e9956ecdf55514de3d1f1d|3c5ba90e09547db90868e803d139de30|ec4608a1f76453166bb312b2968aeaf4|2023-11-11 03:09:00.0|2023-12-22 00:22:00.0|41
e4d88b96fb1801eb436496008e848e1a|5a4f16bfafb54a744311f01c11c05737|4170f6a9367e6b5d6401d03ce6d54569|2023-12-27 07:52:00.0|2024-02-07 05:38:00.0|41
63638a6806d67773f3adba8534553fff|85b99d83c60cab5b4d8f927ad35212a1|b335c59ab742f751a85db9c411a86739|2022-10-08 20:47:00.0|2022-11-17 22:53:00.0|40
a4a57f1ffa25b90dea9f150fee89db84|25d2c18566cb8238ee65ecb9ac0f701b|8e670472e453ba34a379331513d6aab1|2023-09-28 00:15:00.0|2023-11-07 03:51:00.0|40
8ab08a832f16966f270a9bbffe395cfa|d2085f7e0f9533605386960fc7e987ec|aac29b1b99776be73c3049939652091d|2024-01-19 09:31:00.0|2024-02-28 06:06:00.0|39
3b2ca3293a7ce539ea2379d704fa37ce|33e0cfd1cd80a0491da068d7a7f93ff8|dd2bdf855a9172734fbc3744021ae9b9|2022-10-10 22:47:00.0|2022-11-17 18:54:00.0|38
